Age,Gender,Purchase_Frequency,Purchase_Amount,Product_Category,Location
56,F,4,498,Electronics,East
69,F,11,296,Sports & Outdoors,East
46,F,1,90,Fashion,South
32,F,2,59,Electronics,East
60,M,1,96,Sports & Outdoors,East
25,F,8,200,Sports & Outdoors,East
38,M,9,312,Home & Kitchen,West
56,M,10,10,Sports & Outdoors,East
36,M,6,390,Electronics,West
40,M,2,451,Electronics,West
28,M,6,147,Sports & Outdoors,East
28,M,9,145,Electronics,West
41,M,3,371,Fashion,North
70,F,9,390,Fashion,South
53,M,2,163,Electronics,East
57,F,11,171,Sports & Outdoors,East
41,M,5,28,Fashion,South
20,M,11,471,Sports & Outdoors,East
39,M,2,337,Electronics,East
70,M,7,252,Home & Kitchen,South
19,F,11,138,Fashion,West
41,F,10,185,Electronics,North
61,F,9,418,Fashion,West
47,M,7,289,Sports & Outdoors,North
55,M,5,440,Home & Kitchen,South
19,M,4,93,Home & Kitchen,West
38,F,4,385,Electronics,West
50,M,10,231,Fashion,North
29,F,8,334,Home & Kitchen,North
39,F,10,460,Fashion,North
61,M,10,425,Sports & Outdoors,North
42,M,10,154,Sports & Outdoors,East
66,F,10,454,Electronics,South
44,F,10,115,Home & Kitchen,North
59,F,1,334,Home & Kitchen,West
45,M,5,20,Fashion,West
33,M,2,175,Sports & Outdoors,West
32,M,11,205,Home & Kitchen,North
64,M,9,240,Electronics,South
68,M,7,156,Electronics,East
61,M,10,368,Home & Kitchen,North
72,F,8,247,Electronics,North
69,F,6,480,Home & Kitchen,East
74,F,9,410,Home & Kitchen,South
20,M,6,22,Home & Kitchen,North
54,F,7,228,Home & Kitchen,West
68,M,7,266,Fashion,West
24,M,9,11,Home & Kitchen,North
38,F,11,219,Electronics,South
26,M,8,493,Sports & Outdoors,West
56,F,1,374,Fashion,West
35,F,4,234,Sports & Outdoors,East
21,M,7,493,Sports & Outdoors,South
42,F,11,203,Sports & Outdoors,North
31,F,8,205,Sports & Outdoors,East
67,F,7,409,Sports & Outdoors,East
26,F,3,269,Electronics,East
43,M,4,66,Home & Kitchen,South
70,F,7,466,Electronics,South
19,F,8,122,Fashion,South
37,F,7,222,Electronics,North
45,M,6,288,Fashion,South
64,F,9,253,Home & Kitchen,East
24,M,9,389,Sports & Outdoors,West
61,F,11,126,Home & Kitchen,North
25,F,7,395,Electronics,North
64,F,8,460,Electronics,North
52,M,6,96,Home & Kitchen,East
31,M,1,419,Home & Kitchen,South
34,M,1,390,Electronics,East
53,M,6,376,Home & Kitchen,West
67,M,2,272,Fashion,South
57,M,8,493,Fashion,West
21,F,1,309,Electronics,North
19,M,2,426,Electronics,North
23,F,8,122,Home & Kitchen,East
71,M,6,457,Home & Kitchen,South
59,M,10,173,Sports & Outdoors,North
21,M,2,13,Fashion,East
71,F,2,127,Electronics,West
46,M,11,32,Electronics,East
35,M,7,418,Electronics,South
43,F,5,242,Electronics,South
61,F,5,99,Sports & Outdoors,South
51,F,8,485,Fashion,North
27,F,7,264,Sports & Outdoors,East
53,M,9,101,Fashion,West
31,F,4,478,Electronics,South
48,M,10,467,Fashion,East
65,M,4,164,Electronics,North
32,F,2,316,Sports & Outdoors,West
25,M,3,124,Fashion,West
31,F,1,216,Home & Kitchen,West
40,M,1,90,Fashion,North
74,F,7,112,Electronics,South
57,F,5,492,Home & Kitchen,North
38,F,3,462,Electronics,West
33,F,7,89,Home & Kitchen,East
62,F,2,416,Home & Kitchen,West
35,F,3,112,Fashion,East
64,M,1,249,Fashion,North
70,M,8,274,Home & Kitchen,North
41,M,2,42,Home & Kitchen,North
43,F,7,44,Home & Kitchen,East
42,M,11,258,Electronics,North
62,F,9,497,Fashion,South
58,M,6,59,Electronics,West
46,M,2,289,Fashion,South
32,F,2,481,Sports & Outdoors,East
62,M,9,251,Electronics,North
18,M,10,161,Fashion,West
42,M,8,156,Home & Kitchen,North
24,F,9,48,Home & Kitchen,North
26,M,4,198,Fashion,West
41,F,4,34,Home & Kitchen,West
18,M,2,253,Home & Kitchen,South
61,M,10,232,Sports & Outdoors,South
25,M,1,239,Sports & Outdoors,South
41,M,10,162,Sports & Outdoors,South
28,F,4,420,Electronics,South
68,M,10,297,Sports & Outdoors,East
34,F,10,404,Sports & Outdoors,East
25,F,11,462,Sports & Outdoors,North
52,M,8,117,Fashion,North
52,M,2,42,Home & Kitchen,South
50,F,11,412,Fashion,North
22,F,8,372,Sports & Outdoors,East
59,M,1,120,Electronics,East
56,M,1,130,Fashion,North
58,M,4,25,Sports & Outdoors,South
45,M,7,236,Electronics,East
24,M,9,20,Electronics,West
26,F,5,212,Electronics,West
25,M,2,211,Home & Kitchen,North
29,M,7,107,Electronics,South
51,F,11,125,Sports & Outdoors,North
50,M,2,462,Fashion,South
65,M,9,480,Fashion,South
72,F,9,448,Sports & Outdoors,West
40,M,3,290,Home & Kitchen,East
41,F,8,358,Home & Kitchen,East
54,M,11,241,Electronics,North
52,M,4,470,Sports & Outdoors,North
61,M,3,120,Electronics,South
57,F,1,361,Electronics,East
39,F,5,427,Sports & Outdoors,South
44,F,11,21,Home & Kitchen,West
52,F,4,481,Home & Kitchen,West
18,M,1,497,Fashion,South
52,F,10,30,Sports & Outdoors,South
54,F,8,136,Electronics,South
64,F,8,294,Sports & Outdoors,South
31,M,8,444,Electronics,South
20,M,3,130,Fashion,West
18,F,6,133,Fashion,West
22,F,7,416,Fashion,West
43,M,9,42,Fashion,North
72,F,5,401,Electronics,West
31,F,9,179,Home & Kitchen,East
56,F,6,86,Electronics,East
44,F,10,462,Fashion,South
26,M,10,306,Home & Kitchen,West
32,M,10,339,Sports & Outdoors,South
